asset_type,major_cat,minor_cat,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Equipment,Equipment,,29.8,29.1,32.4,34.8,39.3,46.6,54,54.4,59.5,66.2,67.2,69.8,80,96.9,107.3,109.9,124.2,151.6,183.8,213.3,220.9,246.2,238.3,249.6,294.3,307.6,313,317.6,346.6,371.3,369.8,360.8,382,428.4,480.7,532.6,569.6,612,660.6,712.6,760.5,704.1,651.4,660.7,716.6,791.2,861.5,895.2,856.3,672,792.4,896.9,994.6,1033,1093.4
Nonresidential equipment,Equipment,,29.3,28.6,31.9,34.2,38.7,45.9,53.3,53.7,58.6,65.2,66.1,68.5,78.4,95.2,105.5,107.9,122.1,149.2,181.1,210.1,217.6,242.6,234.7,245.4,289.6,302.5,307.5,311.8,340.6,365.1,363.8,355,376,422.3,474.4,526.2,563.2,605.7,653.9,705.4,752.8,696.2,643.4,652.4,707.6,781.6,851.4,885.3,846.7,663.2,783.2,887.2,984.1,1022,1082.1
Information processing equipment,Equipment,,4.7,5.1,5.5,6.1,6.8,7.8,9.7,10.1,10.6,12.8,14.3,14.9,16.7,19.9,23.1,23.8,27.5,33.7,42.3,50.3,58.9,69.6,74.2,83.7,101.2,106.6,111.1,112.2,120.8,130.7,129.6,129.2,141.6,152.8,166.4,187.7,203.9,222.5,239.4,258.6,292.3,264.1,234.5,240.4,253.4,264.4,285.6,307.9,303,272.2,303.4,309.1,326.3,338.9,343
Computers and peripheral equipment,Equipment,Information equipment,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,77.6,81.7,81.6,89.7,92.4,90.6,85.5,95.6,91.4,98.7,99.4,98.9
Communication equipment,Equipment,Information equipment,2.3,2.7,3,2.9,3,3.5,4,4.2,4.6,5.7,6.5,6.6,6.6,8.1,9,9.3,10.6,13.7,16.8,20.3,24.2,27.2,28.9,29.5,34,37,39.1,39.2,43.7,43.6,45.2,43.7,46.2,48.7,56.8,63.5,70.8,80,87.1,98.7,123.3,109.1,83.7,82.2,84.9,86.5,96,106.2,100.1,85.8,99.9,103.6,104.8,111,113.1
Medical equipment and instruments,Equipment,Information equipment,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.8,1.1,1.2,1.5,1.6,2,2.4,2.8,3.3,3.6,4.4,4.8,5.2,6.3,8.3,9.1,10.1,10.4,11.1,12.4,13.5,14.5,16.4,17.8,19.9,22.1,21.4,21.8,23.8,26.4,30.3,32.2,35.2,38.5,43.8,48.5,52.6,61.2,64,72.3,73.2,68.3,71.8,74.7,79.2,84.3,82.9
Nonmedical instruments,Equipment,Information equipment,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.3,1.7,1.8,2.1,3.5,4.1,4.4,4.9,5.6,6.1,6.3,7.8,8.3,8.6,8.9,9.2,11.7,12.9,13.4,14.3,14.5,15.4,17,17.9,16.6,17,17.1,18.4,19.3,19.7,18.8,20.6,21.7,22.9,26,26.6,22.3,25.2,27.4,31.6,32.6,36.3
Photocopy and related equipment,Equipment,Information equipment,0.3,0.3,0.4,0.6,0.9,1.1,1.4,1.2,1.3,1.5,1.7,2,2.5,3,3.5,4,4.4,4.3,5.2,5.5,6.4,7.2,7.4,7.3,9.1,8.8,9.3,9.7,10.7,11.7,11.4,12,12.6,14.5,15.3,14.2,13.6,12.6,12.7,10.7,9.8,6.7,4.6,5.2,5.2,4.9,4.2,6.5,7.4,6.1,7.1,8.2,8,7.6,7.4
Office and accounting equipment,Equipment,Information equipment,1.2,1,0.9,1,1,1,1.3,1.3,1.2,1.4,1.2,1.1,1.3,1.9,2.6,2.3,2.7,2.8,4.2,5.2,5.7,6.1,4.7,7.6,8.6,8.3,9.7,6.3,5.6,6.1,5,4.6,5.1,5.6,5.7,5.8,5.9,5.8,5.1,3.7,3.9,4.8,5.2,8,8.3,8.5,8.8,4.4,5,4.1,3.9,3.9,4,4,4.3
Industrial equipment,Equipment,,9.4,8.8,9.3,10,11.4,13.7,16.1,16.9,17.3,19.1,20.3,19.5,21.4,26,30.7,31.3,34.1,39.4,47.7,56.2,60.7,65.5,62.7,58.9,68.1,72.5,75.4,76.7,84.2,93.3,92.1,89.3,91.7,101,112.5,127.8,135.5,139,145.7,147.3,160.8,149.7,139.4,141,141.7,159.6,178.6,191,191.2,151.2,152.6,188.3,207.5,205.8,215.2
Fabricated metal products,Equipment,Industrial equipment,0.9,0.9,0.8,0.9,1,1.2,1.4,1.4,1.7,2.1,2.6,2.8,3,3.7,4.5,5.3,6.1,6.2,7.1,8.8,9.2,9.9,9.5,9.1,8.7,8.6,8,7.1,8,9,9.2,9.4,9.6,9.3,10,10.8,12.1,10.5,10.9,11.5,11.9,11.9,10.7,11.8,12.6,14.4,17.3,19.8,22.3,16.9,15.6,17.9,20.4,20,21.3
Engines and turbines,Equipment,Industrial equipment,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.8,0.9,1.1,1.3,1.5,1.7,1.7,1.8,1.7,1.8,1.7,1.8,1.9,1.9,2.3,2,1.8,1.9,2.2,1.9,2.5,2.7,3.3,3.1,3.8,3.7,3.5,3.9,3.3,4,3.7,4.4,5.5,7.1,10.8,11.6,10.3,4.9,5.8,7.4,11.4,12.5,10.7,7.6,11.8,16.4,14.3,13.9
Metalworking machinery,Equipment,Industrial equipment,1.5,1.4,1.6,1.9,2,2.6,3.3,4.2,3.9,4,4,3.1,3.7,4.9,6.1,6.1,6.4,7.2,9.3,11.6,13.3,14.1,12.2,9.3,11.3,12.5,13.1,12.5,13.9,16.7,16,15.7,16.9,18.6,22.2,26.3,27.3,29.6,29.9,29,29.8,25.4,23,22.7,23.2,26.1,27.6,28.5,29,21.1,20.9,27.4,32.4,32.3,34.3
"Special industry machinery, n.e.c.",Equipment,Industrial equipment,1.9,1.9,2,2.1,2.4,3.1,3.5,3.3,3.5,3.7,3.9,3.8,4.2,4.8,5.4,5.2,5.5,6.1,8.2,9.4,10.5,11.3,11.9,12.4,14.4,15.8,17.1,18.7,20.9,23.7,22.6,21.3,21.4,24,26.1,30.9,32.6,32.7,34.1,34.6,39.3,34.9,30.4,28.8,28.5,30.6,33.4,34.8,32.9,25.5,25.7,36.1,34.7,34.6,37.5
"General industrial, including materials handling, equipment",Equipment,Industrial equipment,2.5,2.3,2.5,2.9,3.4,3.9,4.6,4.3,4.3,5,5.3,5.2,5.5,6.9,8.3,8.5,9.4,12,14.8,17.2,18,19,18.1,16.8,20.3,21.9,24.2,23.6,26,27,27.4,25.8,26.5,31.3,34.5,39.1,41.3,43.1,46.2,44.8,47.6,43.8,43.6,46.9,49.6,57.3,62.8,63.8,62.7,51.1,54.5,63.6,70.3,69.2,72.7
"Electrical transmission, distribution, and industrial apparatus",Equipment,Industrial equipment,1.9,1.9,1.9,1.9,2.1,2.4,2.9,2.9,2.9,3.1,3.3,3.1,3.3,4,4.7,4.6,4.9,6.1,6.5,7.4,7.9,8.9,9,9.5,11.5,11.5,11.2,12.3,12.8,13.7,14,13.3,13.7,14.2,15.7,17.4,18.2,19.3,20.2,21.9,25,23,20.3,20.5,22.9,25.4,30,32.7,31.8,25.9,28.4,31.6,33.3,35.4,35.6
Transportation equipment,Equipment,,8,7.5,9.4,9.1,10.2,12.9,14.3,13.9,17.3,18.4,15.3,17.4,21,25.6,25.2,24.2,29.2,38.2,45.4,51.5,45.6,48.1,44.5,50.8,60.2,61.8,58.4,57.2,64.7,59.4,60.7,64.8,70.4,86.2,105.1,112.8,119.9,129.5,141.8,168.3,160.3,143,129.7,120.2,146.2,168.4,183.5,178.3,139,65.2,128.5,171.8,209.3,229.6,257.6
"Trucks, buses, and truck trailers",Equipment,,2.6,2.7,3.4,3.6,3.7,4.7,5.4,4.9,5.9,7.1,6.2,7.2,9.4,11.2,11.5,9.1,12,16.1,19.8,21.7,17,18,17.6,20.7,28,31.7,28.1,28.4,28.7,28,23.1,21.5,25.8,36.5,50,57.3,63.2,71.2,77.6,87.8,80.3,63.3,58.9,62.4,82.6,97.9,108.1,92.7,61.4,21.3,55.4,86.2,100,115.8,136.6
Light trucks (including utility vehicles),Equipment,Transportation equipment,1,1,1.3,1.3,1.4,1.7,2,1.8,2.2,2.6,2.3,2.7,3.5,4.1,4.2,3.3,4.4,5.9,7.3,8,6.2,6.6,6.5,7.6,10.3,11.6,10.2,10.3,11.5,10.2,9.1,9.3,9.7,14.5,24.8,28.3,37.5,47.4,47.7,53.6,50.7,42.4,37.6,41.6,54,63.1,69.7,62.9,36.5,2.2,30.5,52.1,60.1,74.1,88
"Other trucks, buses, and truck trailers",Equipment,Transportation equipment,1.6,1.7,2.1,2.3,2.3,2.9,3.4,3.1,3.7,4.5,3.9,4.6,5.9,7,7.3,5.8,7.6,10.2,12.5,13.7,10.7,11.4,11.2,13.1,17.7,20.1,17.9,18.1,17.1,17.8,14,12.2,16.1,21.9,25.1,29,25.6,23.8,30,34.1,29.6,21,21.2,20.8,28.6,34.8,38.4,29.8,24.8,19.1,24.9,34,39.9,41.7,48.6
Autos,Equipment,Transportation equipment,3.3,3,3.9,3.6,3.8,4.8,4.5,4.2,5.7,5.9,4.4,6.5,7,7.9,7.3,7.7,10.2,13.3,14.9,14,11.8,14.6,14.7,19.7,21.9,19.8,18.5,16.3,22.2,18.6,21.1,25.9,26.8,31.1,40.1,35.8,37,35.3,35,41.2,37.9,36.4,36.5,30.1,31.5,37,41.6,42.9,30.4,11,31.8,38.2,55.7,54.8,52.7
Aircraft,Equipment,Transportation equipment,0.8,0.8,0.8,0.5,0.8,1.3,1.8,2.5,3.7,2.8,2.4,1.3,1.9,3,2.4,2.3,2.4,3.4,4.2,6.9,7.9,7.5,6.9,7,6.4,6.9,8.6,9.3,10,8,11.5,12.7,13.7,13.2,8.7,12.7,12.1,14.5,19.6,28.9,31.6,34.6,25.8,19.1,22.3,21.7,20.8,27.6,30.4,19.8,29.1,33,34.4,36.9,42.7
Ships and boats,Equipment,Transportation equipment,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.9,0.9,0.9,1.1,1.7,1.6,2.3,2.3,2.5,2.6,3.2,3.5,4.5,3.1,1.9,1.7,1.3,1.5,1.8,1.6,1.5,1.6,1.6,1.2,2.1,1.8,1.8,2.3,2.7,2.8,2.9,3.5,3.2,3.8,4.2,4.8,4.8,4.5,6,7.4,6.8,6.2,5.9,6.5,8.1,8.3
Railroad equipment,Equipment,Transportation equipment,0.9,0.6,0.9,1,1.4,1.7,2,1.8,1.3,1.8,1.5,1.6,1.5,1.8,2.4,2.8,2.4,2.9,3.9,5.7,5.6,3.5,2.2,1.5,2.2,2,1.7,1.4,2.2,3.3,3.4,3.2,2.9,3.4,4.6,5.2,5.3,5.8,6.7,7.5,7.1,5.4,4.7,4.4,4.9,7,8.4,9.1,9.4,6.3,6,8.5,12.7,14.1,17.3
Other equipment,Equipment,,7.2,7.2,7.7,9.1,10.2,11.5,13.2,12.8,13.4,14.9,16.2,16.7,19.4,23.7,26.5,28.6,31.3,37.8,45.6,52.1,52.3,59.4,53.3,52,60,61.7,62.5,65.7,70.9,81.7,81.4,71.7,72.3,82.2,90.4,97.9,103.8,114.8,127.1,131.2,139.4,139.4,139.6,150.8,166.4,189.3,203.9,208.2,213.5,174.6,198.7,218,240.9,247.6,266.3
Furniture and fixtures,Equipment,Other equipment,1.4,1.4,1.4,1.6,1.8,1.9,2.2,2.3,2.3,2.7,2.7,2.6,3.4,3.9,3.9,3.7,4.2,5.6,6.9,8,9,10,11,12.2,14.5,15.7,16.7,18.4,18.8,21.6,21,18.9,20.7,21.2,22.4,24.3,25.4,29.6,33.4,36.3,39.2,37.1,35.8,36.5,38.5,42.4,43.7,41.9,41.2,31.4,31.5,35.1,37.3,37.6,39.8
Agricultural machinery,Equipment,Other equipment,1.6,1.6,1.8,2.2,2.5,2.7,3.3,3.4,3.3,3.4,4,3.9,4.8,6.4,6.8,8.5,8.8,9.5,10.7,12.7,11.6,12.6,9.5,8.5,9.1,7.3,6.8,6.6,9,11,12.5,10.6,9.4,10.8,12.3,12.7,12.8,15.2,15.8,11.4,12.7,13.7,15.9,17.4,19.7,21.6,20.6,21.2,24.7,25.5,23.8,26.5,35.2,41.9,43.6
Construction machinery,Equipment,Other equipment,1.1,1.1,1.1,1.5,1.9,2.2,2.5,2.3,2.5,2.9,2.9,3,3.7,4.6,5.5,5.5,5.6,8.1,10.7,10.9,9.4,9.7,6.5,7.3,9.9,10.9,10.8,10.2,10.3,13.2,13.6,9,9,11.7,13.5,15.3,17.5,19,21.7,22.4,22.9,20.5,19.2,20.5,24.4,31.4,36.7,35.6,38.4,21.8,39.9,40.5,44.1,41.1,47.2
Mining and oilfield machinery,Equipment,Other equipment,0.5,0.4,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.9,1.1,0.9,1.1,1.7,2.7,3,3.6,3.6,3.9,4.5,7.6,5.6,3.2,2.8,2.5,1.3,1.2,1.5,1.9,1.8,1.4,1.1,2.3,2.3,2.5,2.7,3.3,3.3,4.9,4.8,5.5,3.5,4.4,5.5,8,12.3,17.3,19,16.6,19.5,25.8,35.2,34,36.2
Service industry machinery,Equipment,Other equipment,1.3,1.3,1.4,1.4,1.5,1.8,2.1,2.1,2.3,2.6,2.7,2.8,2.9,3.1,3.3,3.1,3.7,4.2,5,5.9,6.5,7,7.3,7.6,9.1,9.9,10.2,11.2,11.7,12.9,11.7,11.2,11.1,11.9,13.1,14.2,14.8,14.8,16.8,18.3,19,19.9,19.5,20.4,21.8,24.2,25.2,26.5,25.4,23.9,26.7,28.7,30.5,29.5,32.3
"Electrical equipment, n.e.c.",Equipment,Other equipment,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.8,0.9,1,1.1,1.6,2.1,2.5,2.8,2.4,2.5,2.8,2.9,3.1,3.2,3.6,3.6,3.3,2.8,2.9,2.9,3,3.3,3.2,3.6,4.3,4.1,4.3,4.7,5,5.2,6.3,6,6,5.2,5.5,4.4,5,5.2,6.3,7.3,7.1
Other nonresidential equipment,Equipment,Other equipment,1.1,1.2,1.3,1.4,1.6,1.7,2,1.8,2,2.2,2.5,2.7,3.1,3.8,4.5,4.3,4.9,5.8,7,8.6,8.8,9.7,10.9,10.8,11.8,12.5,13.6,14.8,16,17.5,17.7,17.8,18.2,21.4,23.7,25.6,27.4,29.3,31.8,33.8,36.4,37.9,40.8,46.3,50.1,55.7,59.4,60.6,59.3,51.1,52.4,56.3,52.4,56.4,60.1
Residential equipment,Residential,Residential equipment,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1,1.1,1.3,1.5,1.7,1.9,1.9,2.1,2.4,2.7,3.2,3.4,3.6,3.7,4.2,4.7,5.1,5.5,5.8,6.1,6.1,6,5.7,5.9,6.1,6.2,6.3,6.3,6.3,6.7,7.3,7.7,7.8,8,8.3,9,9.6,10,9.9,9.6,8.8,9.2,9.8,10.5,11,11.3
Structures,Structures,,45.8,46.2,49.9,53.3,58,62.4,63.1,63.7,71.9,80.1,81.3,98.2,116.8,130,126.4,124.6,147.8,184.3,224.8,257.2,256.8,285.3,277.3,304.7,358.9,389.9,404.5,420.1,431.3,440.5,437.8,395,413.6,454,497.9,521.9,576.8,618.4,685.3,736,792.4,831.4,827.9,906.8,1039.4,1190,1241.1,1174.3,1057.8,817.9,733.2,760.6,882.9,975.7,1110
Nonresidential structures,Structures,,19.5,19.7,20.8,21,23.6,27.9,30.4,30.7,32.6,36.8,39,41.3,46,53.5,58.8,59.8,63.1,71.4,89.5,112.5,130.6,160.5,170.1,147.8,173.2,194.8,175.2,176.1,181.2,190.6,204.1,179.6,164.8,173.3,180.2,204.1,225.1,249.1,273.2,281.5,314.7,326.2,278.3,278,298.6,343.4,413,493.7,551.4,436.7,365.8,391.5,461.4,476.7,561.2
Commercial and health care,Structures,,4.8,5.5,6.1,6,6.7,8.1,8.2,8.2,9.4,11.7,12.5,14.9,17.5,19.8,20.6,17.6,18,20.2,25.3,33.5,40.9,48.2,55.7,55.7,70.5,84,80.7,80.6,86.1,88,87.2,68.6,63.9,68.8,74.8,82.5,91,104.2,115.3,124.7,138.6,139.4,118.5,113.9,124.5,135.4,155.6,180.2,180.3,125.3,90.6,92.1,102.5,108.7,126.3
Office 1,Structures,Commercial and health care structures,1.8,2,2.2,2.2,2.4,2.9,3,3,3.4,4.1,4.3,5.2,5.4,6.2,6.5,5.4,5.3,6,7.7,11.2,15.7,20.5,26.8,24.7,31,38,34.8,32.4,34.1,34.5,32.8,26.1,21.9,22.8,24.3,28,30.7,37.7,46.1,51.4,59.9,59.5,40.1,34.6,37.4,42.6,52.1,61.1,63,42.1,27.3,26.7,30.9,34.1,44.2
Health care,Structures,,0.8,1,1.3,1.3,1.6,1.7,1.8,1.7,2,2.7,3.2,3.7,4.1,4.3,4.5,4.4,4.7,4.8,5.2,5.9,7.3,9.1,12.5,13.4,13.9,13.9,13.3,13.8,15.7,15.9,16.9,15.4,15.4,16.7,16.6,15.9,16.8,19.6,20,20.7,21.9,22,25.2,27.3,29.6,32.1,36,40.1,43.3,39.7,33.3,32.5,35.4,33.4,32.5
Hospitals and special care,Structures,,0.6,0.8,1,1,1.3,1.4,1.4,1.3,1.6,2.2,2.6,3.1,3.5,3.6,3.7,3.8,4.1,4.1,4.3,4.6,5.4,6.6,9.2,10.4,10.2,9.3,9.1,9.9,11.6,11.8,13,12.2,12.8,13.9,13.7,12.5,13.1,15.1,15.4,15.2,16.2,16.7,19.7,20.4,21,23,28,31.1,32.9,31.3,27.3,26.4,28.2,25.5,24.4
Hospitals,Structures,Commercial and health care structures,0.5,0.6,0.8,0.8,1,1.1,1.1,1.1,1.3,1.8,2.1,2.5,2.8,2.9,3,3.1,3.3,3.3,3.4,3.7,4.4,5.3,7.4,8.4,8.2,7.5,7.4,8,9.4,9.5,10.5,9.8,10.3,11.2,11.2,9.9,9.4,11.2,10.7,10.7,11.5,12.7,15.7,17.1,18.2,20.5,24.7,27.6,28.8,27.8,24.2,23.1,23.9,21.6,19.9
Special care,Structures,Commercial and health care structures,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1.3,1.8,2,2,1.8,1.8,1.9,2.3,2.3,2.5,2.4,2.5,2.7,2.4,2.7,3.8,3.9,4.7,4.5,4.7,4,4,3.3,2.8,2.5,3.3,3.5,4.1,3.4,3.1,3.4,4.3,3.9,4.5
Medical buildings,Structures,Commercial and health care structures,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.6,0.6,0.7,0.9,1.3,1.9,2.5,3.3,3,3.8,4.6,4.2,3.9,4.1,4.1,3.9,3.2,2.6,2.7,2.9,3.3,3.6,4.5,4.6,5.5,5.7,5.2,5.5,6.8,8.6,9,8.1,9,10.4,8.5,5.9,6.1,7.2,7.9,8.1
Multimerchandise shopping,Structures,Commercial and health care structures,0.8,0.9,1,0.9,1,1.3,1.3,1.3,1.5,1.8,1.9,2.2,3,3.4,3.6,2.9,2.9,3.5,4.5,6,6.5,6.8,6,6.4,9.3,11.7,11.9,12.6,13.2,13.7,13.7,9.9,9.8,10.9,11.4,11.2,12.7,11.5,12.7,14.8,14.6,16.2,15.6,15.4,18.8,22.8,29.2,34.8,32,18.4,12.5,13.4,14.9,16.7,19.5
Food and beverage establishments,Structures,Commercial and health care structures,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.8,1,1,1.2,1.6,1.9,1.9,1.5,1.6,1.9,2.4,3.2,3.5,3.6,3.2,3.5,5,6.3,6.4,6.8,7.2,7.4,7.4,5.4,5.3,5.9,5.7,6.7,7.1,8.1,8.7,8,8.6,8.7,7.9,8.4,8.2,7.8,7.4,8,8,4.9,4.6,5.3,5.8,6.6,7.2
Warehouses,Structures,Commercial and health care structures,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,1,1.3,1.5,1.6,1.3,1.3,1.6,2,2.7,3,3,2.7,2.9,4.2,5.3,5.4,5.7,6,6.2,6.2,4.5,4.4,4.9,5.9,8.7,10.9,11.9,12.2,13.3,14.5,15.5,11.9,12.3,12.1,12.8,14.5,16.9,16.7,9.7,5.7,6.5,7,8.8,13.7
Other commercial 2,Structures,Commercial and health care structures,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.3,1.4,1.6,2.1,2.5,2.6,2.1,2.1,2.5,3.4,4.5,4.9,5.2,4.6,4.9,7,8.8,8.9,9.4,9.9,10.3,10.2,7.4,7.1,7.8,11,11.9,12.8,15.4,15.6,16.5,19.1,17.5,17.8,15.9,18.4,17.4,16.3,19.3,17.3,10.4,7.3,7.7,8.4,9.1,9.2
Manufacturing,Structures,,2.8,2.8,2.8,2.9,3.5,5.1,6.5,5.9,6,6.8,7,6.2,5.9,7.9,10,10.5,10.1,11,16.1,22,20.5,25.4,26,19.4,20.8,24.1,20.9,21.1,23.1,28.7,33.5,31.3,28.7,23.3,28.7,35.2,37.9,37.6,40.2,34.8,37.3,37.5,22.4,21,22.9,28.2,32,39.6,52.3,56.2,39.7,39.1,46.3,49.4,57.7
Power and communication,Structures,,4.3,4,4,4.1,4.5,5.1,5.5,6.5,7.6,7.9,9.1,9.7,10.9,12.5,12.9,14.4,15.6,16.5,17.8,19.8,22.1,23.4,22.5,19.5,22.8,27.5,27.6,27.9,24.2,25.2,28.2,28,27.1,30.4,25.9,31.4,31.4,29.6,34.2,40.1,46.9,49.8,48.2,46,41.7,48,55.8,81.3,94.6,92.8,82.6,81.6,99.7,98,116.6
Power,Structures,,3.2,3.1,3,3,3.2,3.6,3.9,4.9,5.9,5.7,6.1,6.7,7.7,8.5,8.7,10.6,11.7,12,12.2,13,14.4,15.3,14.1,12,14.8,19.2,18.6,18.8,14.7,15.6,18.4,19.1,18.1,20.8,15.8,20.3,19.6,17.2,21.7,21.7,28.1,30.2,29.8,31.5,26.3,29.2,33.6,53.9,68.3,73,64.9,64.1,83.7,80.3,99.5
